Year,Emissions
1970,651.14402114247
1971,666.26759400552
1972,694.81843393553
1973,726.76585821192
1974,753.69395232263
1975,776.25857975812
1976,804.40432520657
1977,820.24682908506
1978,831.29070194687
1979,848.72237484745
1980,865.54573269188
1981,854.72552978309
1982,853.74597944906
1983,854.25489836415
1984,856.08479754059
1985,863.22462300784
1986,880.75995905908
1987,903.52821513998
1988,909.25921843293
1989,908.84690992764
1990,952.14001997086
1991,896.10158710402
1992,798.94418058969
1993,708.04797778432
1994,597.44043333817
1995,581.74552876826
1996,502.8307664482
1997,482.09965425494
1998,457.21234278281
1999,454.16452227955
2000,448.0543727105
2001,447.26218778744
2002,450.49902448947
2003,483.12044620577
2004,456.42620763469
2005,444.00052067652
2006,443.51147476687
2007,455.22220138507
2008,440.85195469037
2009,375.74626339321
2010,396.02428793186
2011,423.57341409501
2012,414.91506785469
2013,405.94310226259
2014,357.00173624026
2015,301.12338524228
2016,307.43066899877
2017,280.72784596695
2018,294.75466017131
2019,284.72544390136
2020,274.46086477694
2021,260.07975553466
2022,208.60694283631
