Year,Emissions
1970,29.374888444874
1971,35.426628611552
1972,38.993140476361
1973,50.04015323335
1974,51.456608224407
1975,52.467376079304
1976,63.653670347111
1977,65.291138110578
1978,71.509078746893
1979,57.119856303778
1980,60.098865472304
1981,55.780072989581
1982,54.165527331603
1983,51.766882796575
1984,65.873776008222
1985,68.762843879952
1986,69.288359438253
1987,73.340645495047
1988,72.86099802532
1989,82.609294794484
1990,84.786916530569
1991,94.155976369003
1992,93.097087312721
1993,100.06579712966
1994,106.18396324433
1995,112.66310701691
1996,118.55359845066
1997,121.08295718214
1998,122.23327300815
1999,125.50216686661
2000,127.72373725469
2001,142.19371431142
2002,143.83964366346
2003,152.13073087641
2004,159.23488212958
2005,169.62906977269
2006,176.72506032604
2007,187.32790720469
2008,214.96629772405
2009,215.94581783359
2010,224.91554445331
2011,232.81621045721
2012,243.67360855534
2013,255.45776576698
2014,258.79582813151
2015,272.73155883436
2016,281.1532245413
2017,270.98776927524
2018,253.46748799055
2019,268.69614790779
2020,271.282328231
2021,286.75927068366
2022,295.1102634366
