Year,Emissions
1970,880.21970147406
1971,872.70823785139
1972,850.20525198371
1973,890.58869706812
1974,844.02421991132
1975,831.91516784889
1976,843.25019265853
1977,848.08085266935
1978,849.70419601169
1979,889.31497007618
1980,820.85711961942
1981,801.50218250322
1982,785.23719349611
1983,777.82817632835
1984,733.62190906957
1985,776.18452117874
1986,798.76221388449
1987,800.55272661499
1988,796.42480369208
1989,779.51439036691
1990,786.21233066332
1991,798.43327632808
1992,775.12727810007
1993,752.71671547599
1994,744.3961331703
1995,740.77850868153
1996,760.90480190192
1997,737.35748799467
1998,728.1156651158
1999,701.60291689707
2000,700.69314691222
2001,710.34860072242
2002,689.6362218773
2003,698.82923411112
2004,692.52679354467
2005,681.82284530497
2006,674.58471250138
2007,659.4697038662
2008,637.18902857219
2009,583.15160656853
2010,594.8691014856
2011,552.18840309852
2012,573.85880789114
2013,558.80021726812
2014,519.8661439855
2015,505.05967184629
2016,484.81757337901
2017,470.74530295326
2018,463.98654934993
2019,446.88584093562
2020,407.94086512663
2021,425.71258195996
2022,426.56209915177
