Year,Emissions
1970,5750.0296333
1971,5624.3206552744
1972,5894.3158903594
1973,6093.6371173532
1974,5915.9578180643
1975,5699.3314355469
1976,6014.5577281539
1977,6170.7645706003
1978,6163.3845882038
1979,6230.3143099677
1980,5997.6889554904
1981,5917.9830713379
1982,5649.111980277
1983,5618.7540331553
1984,5845.6458790366
1985,5854.2566126041
1986,5807.7343933267
1987,5967.3014209534
1988,6204.137293582
1989,6270.4751226942
1990,6163.7415976351
1991,6115.6005873687
1992,6215.0204693089
1993,6341.2832825037
1994,6448.6035396443
1995,6517.8861713627
1996,6687.9671311728
1997,6971.1565946986
1998,7020.4805861217
1999,7023.7914891878
2000,7188.1785666092
2001,7105.939399838
2002,6941.5896404487
2003,7007.7740145585
2004,7097.0414081291
2005,7101.8812180585
2006,6990.8061976189
2007,7087.0005767008
2008,6907.5941596845
2009,6439.8698491756
2010,6686.4746599174
2011,6485.3214834226
2012,6241.5499057901
2013,6382.4419806958
2014,6409.9520193141
2015,6288.5410656107
2016,6167.1411097649
2017,6110.706443534
2018,6287.7030947311
2019,6153.2347896419
2020,5615.5674180966
2021,5923.3031035448
2022,6017.4429831846
