Year,Emissions
1970,109.99521176987
1971,111.3587817719
1972,116.47219455342
1973,122.08890763943
1974,128.22645380586
1975,136.58980917535
1976,140.09984992109
1977,143.90798420518
1978,148.66365674497
1979,152.67198076226
1980,158.79855776845
1981,159.63701463288
1982,162.1267295709
1983,165.40174452018
1984,169.30778317561
1985,173.68226375285
1986,178.24418614887
1987,182.90838935421
1988,185.25398214769
1989,185.40221326829
1990,177.17302351348
1991,176.7985877405
1992,167.35095046787
1993,168.56890353306
1994,166.07700617246
1995,154.75243939181
1996,157.46847680244
1997,157.53356685288
1998,173.79699429527
1999,172.46194207419
2000,181.93943864301
2001,187.78907753595
2002,199.16422781454
2003,187.60025724358
2004,190.12560548148
2005,191.579318683
2006,204.29216813089
2007,198.46825415274
2008,210.81095474957
2009,192.60277152487
2010,207.96455887561
2011,212.85645076299
2012,202.0993913084
2013,200.44717058576
2014,191.79643579804
2015,187.88647255906
2016,197.95960079082
2017,203.01881433983
2018,213.16796440933
2019,219.00652132417
2020,211.86163804398
2021,221.59817613129
2022,227.20674617779
