Year,Emissions
1970,94.250849343331
1971,93.609547984904
1972,94.205876758945
1973,98.116610421843
1974,96.139573514969
1975,95.936444450114
1976,95.168375039672
1977,98.912316116026
1978,98.082995409153
1979,97.985528340795
1980,99.127646478128
1981,100.92094767752
1982,103.67604945133
1983,105.02358953001
1984,105.30551869828
1985,106.40482823974
1986,108.89621334818
1987,110.4239568196
1988,112.2739728659
1989,110.71925455855
1990,112.02076927293
1991,116.34981470406
1992,119.64857476154
1993,125.70234333388
1994,132.30032993283
1995,139.90762789326
1996,147.6268566043
1997,153.6787719305
1998,163.08457959391
1999,168.67028373337
2000,174.89694282544
2001,179.90895773532
2002,194.84769307497
2003,203.63929697036
2004,227.28667000651
2005,239.89993546153
2006,246.51399109241
2007,260.4707920392
2008,271.75508820748
2009,291.59257791242
2010,308.86325366679
2011,311.00239256051
2012,310.96924524518
2013,319.96313683992
2014,336.2960194767
2015,358.06162135164
2016,379.7606763595
2017,386.33815634743
2018,441.91215413006
2019,493.7613858218
2020,499.45329169622
2021,496.72503337628
2022,489.15923532046
