Year,Emissions
1970,12.784942319365
1971,13.054112724182
1972,13.658803977793
1973,14.136910110557
1974,14.37924758074
1975,14.693533045146
1976,15.145699954839
1977,14.920682433967
1978,14.761294824988
1979,14.583934087612
1980,14.67603162626
1981,14.673880591414
1982,15.173893691231
1983,14.949502864486
1984,14.671265546138
1985,15.338523499741
1986,15.720680837197
1987,15.840440350632
1988,16.256240963248
1989,16.606282384921
1990,16.287382511408
1991,16.499308625913
1992,16.555891809842
1993,16.248388939233
1994,15.531902601549
1995,15.204388144722
1996,14.762373255699
1997,15.937175774466
1998,16.151866020342
1999,16.214672908793
2000,15.962955182676
2001,16.380369376375
2002,16.22151536256
2003,16.458112198937
2004,16.632227958245
2005,17.321076022624
2006,17.633875981136
2007,17.063240519851
2008,17.228865612061
2009,19.027272665506
2010,20.062290118954
2011,19.920703331318
2012,23.300638435404
2013,24.1622909136
2014,24.830244438413
2015,24.986546373281
2016,25.575795444268
2017,27.241616720189
2018,28.423766178794
2019,28.64532997552
2020,28.953793101269
2021,29.684856748506
2022,30.330585039869
