Year,Emissions
1970,8.2612502236986
1971,8.2058617900689
1972,9.1409237002741
1973,8.6339414559468
1974,8.9069083928064
1975,9.1137065407313
1976,9.7380741617314
1977,10.293177407653
1978,11.313206700597
1979,12.4756074422
1980,12.679358647449
1981,11.704694007235
1982,12.348128849132
1983,13.198723127883
1984,13.512289901792
1985,13.077273837377
1986,13.302952895882
1987,13.592364956074
1988,13.498098412847
1989,13.389465958774
1990,11.56814994622
1991,9.0843288541255
1992,6.1949917121474
1993,6.2312245427521
1994,6.9254767228472
1995,6.5670558406481
1996,6.3060097941035
1997,5.5601929606826
1998,5.8286607365187
1999,7.0404198975644
2000,7.2513888659751
2001,7.4456919478245
2002,8.0731754514382
2003,8.2655109369832
2004,8.4765832435334
2005,8.070085089579
2006,8.1154375732994
2007,8.0716269703564
2008,7.8554765406994
2009,7.8331212515495
2010,8.1417969105435
2011,8.5434629305811
2012,8.2536503242366
2013,8.5149342595469
2014,9.0065287816237
2015,8.8458744407966
2016,8.4616233991618
2017,9.2812568430684
2018,9.2293802383895
2019,8.7444897766291
2020,7.8631038319776
2021,7.8981214836983
2022,7.9833788940051
