Year,Emissions
1970,57.099750276601
1971,60.908479590875
1972,82.638218264532
1973,95.656501479879
1974,86.040598418766
1975,82.813997951191
1976,97.557182945879
1977,105.7107389882
1978,115.60771673543
1979,119.30289826022
1980,114.20841633166
1981,108.7001696374
1982,112.44125227618
1983,118.28948368402
1984,123.54363518554
1985,135.21113558461
1986,140.49333594262
1987,139.95997289387
1988,140.75414705004
1989,145.00427735996
1990,145.88687408355
1991,149.06751626953
1992,158.29837102719
1993,163.75119875988
1994,160.4012241328
1995,170.56266633191
1996,171.8831377592
1997,165.47634109778
1998,164.49558304032
1999,171.1467668967
2000,179.74509374967
2001,168.32889607022
2002,169.00493184043
2003,183.3731835416
2004,180.48513200025
2005,188.33763302949
2006,197.22239213987
2007,196.01489171993
2008,204.47106733493
2009,200.98828105812
2010,209.13227089497
2011,215.37207804643
2012,232.08910880848
2013,234.85809662603
2014,249.43422588082
2015,259.8520518687
2016,261.58694664287
2017,264.90556114109
2018,274.75064260955
2019,278.41052661453
2020,265.21172615313
2021,284.17384216332
2022,284.44507004306
