Year,Emissions
1970,20.138364410556
1971,20.018415792156
1972,22.721001179694
1973,24.375911254966
1974,25.083207728244
1975,23.889923834971
1976,19.960419378896
1977,24.620945111812
1978,26.753413173983
1979,27.34733334789
1980,27.854703806423
1981,26.407853642905
1982,26.690607288938
1983,28.580064875528
1984,29.537986198782
1985,31.315767706983
1986,32.915260441043
1987,35.071078735806
1988,37.650472236211
1989,38.060279142778
1990,34.957036435018
1991,34.82594233415
1992,33.94866932926
1993,37.776232424679
1994,48.925967885113
1995,56.341504996649
1996,67.368212036903
1997,70.213914903401
1998,75.471421555047
1999,76.240465425748
2000,71.461337958258
2001,69.302388593695
2002,68.052257144105
2003,68.303989784021
2004,74.427107292736
2005,73.533899862726
2006,66.560642610171
2007,65.7176983402
2008,70.042772007397
2009,71.173426339765
2010,78.130868527498
2011,76.691709755725
2012,78.413032820252
2013,82.985492822247
2014,85.186645175464
2015,90.110603980062
2016,87.096037417433
2017,81.888045288521
2018,78.215748669981
2019,77.435410713921
2020,71.682513239401
2021,69.613898180875
2022,66.480057593851
