Year,Emissions
1970,223.21092688364
1971,226.61398340972
1972,233.78241182738
1973,241.8043861353
1974,242.49929753217
1975,243.24207333725
1976,251.85530360847
1977,262.40274438461
1978,255.0680534703
1979,261.12224960588
1980,256.66686127358
1981,251.05130129728
1982,248.12255604433
1983,254.94034035334
1984,256.68280213088
1985,248.5344323395
1986,254.78690303186
1987,259.16316075246
1988,268.40868403737
1989,268.0926050552
1990,262.67015624349
1991,266.69335387808
1992,268.75622593396
1993,271.45020924655
1994,277.269515628
1995,280.32201067632
1996,288.08287345295
1997,293.17879911204
1998,298.09956259434
1999,305.61959179051
2000,303.67593232591
2001,299.48449798445
2002,298.40053610663
2003,321.58799872536
2004,341.76604192207
2005,344.82710482282
2006,358.58099488174
2007,365.36094201889
2008,366.06684204183
2009,343.24772130354
2010,346.29466297332
2011,353.77343960201
2012,358.82371625735
2013,368.29518000788
2014,366.64454476712
2015,375.12491638054
2016,375.90125091587
2017,379.16933039413
2018,378.29167583713
2019,373.74727194168
2020,359.02566397894
2021,378.42035271125
2022,382.99247813017
