Year,Emissions
1970,15.350071297246
1971,15.846952114173
1972,16.677633517028
1973,17.558848067721
1974,18.413119904257
1975,19.553635702456
1976,20.028775127308
1977,20.506094830917
1978,21.257001725849
1979,21.797918967109
1980,22.740659264165
1981,22.612892253831
1982,22.970820325192
1983,22.859682530972
1984,22.930049543758
1985,23.045705867308
1986,23.446930419032
1987,24.101271786659
1988,24.375916388989
1989,24.344439044823
1990,24.373255780186
1991,24.938649384216
1992,14.040659786261
1993,7.7340308896234
1994,5.3950812052716
1995,6.073781357501
1996,5.1247062602932
1997,5.8344838423237
1998,5.8745160346768
1999,5.5080391840747
2000,6.0338667772288
2001,6.1780781015259
2002,5.7432634716414
2003,6.2010669563549
2004,6.678035222481
2005,7.4296518129611
2006,7.4016186680265
2007,8.1674804761621
2008,8.6424369358192
2009,7.3508025541779
2010,7.0959072103055
2011,7.7230933281945
2012,8.5944885876418
2013,8.6042892786739
2014,8.682475860551
2015,8.6180409331455
2016,8.428328277003
2017,8.6239573588188
2018,8.7851716808102
2019,9.2674067411759
2020,9.802551076226
2021,10.00260527343
2022,9.3770313384909
