Year,Emissions
1970,130.99260362939
1971,124.36016148346
1972,126.51040292344
1973,127.79018638088
1974,126.70607420022
1975,132.20000845531
1976,129.10164954195
1977,130.7204461945
1978,134.40571341811
1979,136.5242300057
1980,129.86631235361
1981,130.61244534912
1982,132.62075879981
1983,126.89047724791
1984,129.86261347098
1985,132.58166619298
1986,135.49676798666
1987,134.57155385321
1988,135.65165983348
1989,139.39321408127
1990,139.91278472357
1991,138.25991686933
1992,139.88983911989
1993,139.37550847974
1994,141.49094163023
1995,146.76166885667
1996,147.76175344931
1997,149.21367786292
1998,148.55775478606
1999,154.94624291979
2000,156.85351498714
2001,163.77948200434
2002,168.13559839
2003,171.80334212974
2004,173.42012469247
2005,179.55500525478
2006,185.3687848257
2007,190.46529869309
2008,201.86815475268
2009,207.18503966471
2010,216.43925189616
2011,220.95451607186
2012,226.53011884666
2013,231.82802036592
2014,238.08190988779
2015,248.08835489506
2016,255.68275012014
2017,268.20270774542
2018,278.90593986028
2019,276.85425057518
2020,269.03109596581
2021,276.79742709856
2022,281.08210987487
