Year,Emissions
1970,82.257010425623
1971,84.09258275646
1972,88.146086586183
1973,92.939149121241
1974,97.539989191393
1975,103.81834485872
1976,106.74397132345
1977,108.71418889707
1978,112.44663657374
1979,115.06080878452
1980,118.1752805413
1981,117.63655005814
1982,118.81039520064
1983,120.51260690797
1984,121.83953604067
1985,123.34773972615
1986,126.25107407091
1987,129.54556369142
1988,129.9540236772
1989,131.01801267834
1990,137.52821526608
1991,132.7556415656
1992,121.21405438069
1993,106.98059233845
1994,93.352610903306
1995,84.682384961054
1996,84.951554359517
1997,85.015673975761
1998,83.458921082251
1999,81.011474186965
2000,78.02144738409
2001,76.679589303424
2002,76.621526935802
2003,77.217248557566
2004,81.23136947719
2005,81.38210764176
2006,84.296619847245
2007,82.917104889408
2008,90.665733397678
2009,88.004133157337
2010,93.214584066521
2011,103.24193240501
2012,105.07771352089
2013,105.62409620839
2014,105.0571931496
2015,100.52717806194
2016,99.718546772781
2017,101.4007559894
2018,104.71889489333
2019,102.72087341005
2020,100.06064448546
2021,102.4866391922
2022,99.874151996722
