Year,Emissions
1970,170.20654789864
1971,160.32013917031
1972,171.82274548116
1973,177.63475482201
1974,177.89427950728
1975,158.14618046002
1976,167.59145141602
1977,166.24347571794
1978,170.5228587062
1979,179.81117361515
1980,169.29996925664
1981,157.57860071896
1982,149.23470390084
1983,139.97438475608
1984,144.07038287128
1985,141.54930863169
1986,141.05818924507
1987,140.16591211996
1988,140.59173393136
1989,141.39505648578
1990,142.80335978667
1991,146.7846939134
1992,144.6124894882
1993,142.6199884811
1994,150.23678500932
1995,151.1272625908
1996,156.40096006701
1997,152.69378053217
1998,156.41787253882
1999,152.53571159308
2000,153.80409538121
2001,153.99581533987
2002,146.2222923535
2003,149.97275799209
2004,148.87842921405
2005,145.83529527643
2006,142.2547099235
2007,139.56812237084
2008,141.17891601193
2009,133.55646437836
2010,142.08874589442
2011,131.76289890717
2012,129.76527062232
2013,130.87085746992
2014,123.71912637512
2015,127.99694071061
2016,126.58455196251
2017,124.19139049913
2018,124.90027960234
2019,124.54995981676
2020,116.79325740379
2021,121.88039419416
2022,114.03220323006
