Year,Emissions
1970,2.5190788405546
1971,2.6133821675528
1972,2.826708110001
1973,2.9745613175208
1974,2.9621256807588
1975,3.160644186924
1976,3.0416180064298
1977,3.1631250715333
1978,3.2720393201016
1979,3.3962484452655
1980,3.5617078949746
1981,3.7767830980978
1982,4.0131863108491
1983,3.9416049816516
1984,4.037312931043
1985,4.2835172984414
1986,4.0391033398676
1987,4.0230082555062
1988,3.9985484860793
1989,4.0031316304526
1990,4.2015868547979
1991,4.3099905537711
1992,4.429595968991
1993,4.4694924884566
1994,4.8193001288005
1995,4.6190103504734
1996,5.5826898870757
1997,5.8881100940562
1998,5.9279054350254
1999,6.2933085926063
2000,6.5460587177494
2001,7.099115447364
2002,7.5707454642985
2003,7.9465592134054
2004,8.2857647317813
2005,8.759363599887
2006,10.037279576196
2007,10.772565411077
2008,10.916351046135
2009,11.474717905407
2010,12.377516698307
2011,12.505664346007
2012,12.502707158058
2013,13.329438148458
2014,13.932115172172
2015,14.500301859094
2016,16.191115350125
2017,16.604694083803
2018,18.140004917661
2019,18.260477505968
2020,19.058260731721
2021,20.097477075835
2022,20.685138899079
