Year,Emissions
1970,3.4561190089412
1971,3.5850847963439
1972,4.1604598147174
1973,4.3920944993299
1974,4.9893181378978
1975,5.5581432765422
1976,6.3863167314454
1977,6.9390246594976
1978,6.6979680723825
1979,6.785120735946
1980,6.996437229966
1981,7.2427606096459
1982,7.4451166506124
1983,7.1615411824398
1984,6.9149659842857
1985,6.62848767544
1986,6.8063672956077
1987,6.9217444159295
1988,7.8825541825227
1989,8.3294816150543
1990,9.3337019165818
1991,8.3633337566295
1992,8.6213738351792
1993,8.3691023624939
1994,8.5017464892656
1995,9.5343223066972
1996,8.6185820424638
1997,8.8897108639098
1998,9.74449648343
1999,10.39778570274
2000,10.764965823163
2001,10.189698234153
2002,9.757724573091
2003,9.5304988584215
2004,9.4761324228428
2005,10.135844937049
2006,10.014380945373
2007,10.198342162043
2008,10.47171586432
2009,10.426522537882
2010,10.214235622518
2011,10.613341898719
2012,9.6758063135254
2013,11.496815552752
2014,12.356686183238
2015,12.794954996776
2016,11.92910834632
2017,12.131521468803
2018,13.084550087359
2019,11.914977310199
2020,10.586858129068
2021,11.341197239908
2022,12.607067005791
