Year,Emissions
1970,365.2611240128
1971,373.69602761678
1972,394.4433391954
1973,422.05448524836
1974,449.74428985053
1975,471.87036256714
1976,508.83246255848
1977,525.40869087237
1978,540.62415984253
1979,563.89212051304
1980,592.18550874163
1981,581.7771678563
1982,590.85679523639
1983,586.60562826927
1984,607.02340601874
1985,622.14262661579
1986,657.46577629473
1987,675.25553944557
1988,689.57296376895
1989,700.00255981923
1990,695.63810426232
1991,721.92079388306
1992,744.73791204147
1993,771.01069003353
1994,799.17508748081
1995,837.07664007767
1996,844.65291806407
1997,872.33113075697
1998,890.26863971004
1999,907.72639087375
2000,934.70845382498
2001,950.33968814018
2002,975.56545743239
2003,1008.2485969775
2004,1058.9792054048
2005,1067.4588843802
2006,1075.5050132559
2007,1092.2681570723
2008,1122.3846312166
2009,1098.2621085287
2010,1177.7120317003
2011,1212.9225018996
2012,1250.5754680668
2013,1288.064712269
2014,1323.6088011326
2015,1307.9689074401
2016,1285.0899556621
2017,1298.0216163464
2018,1274.9476710372
2019,1281.461866161
2020,1277.6893793479
2021,1343.141116347
2022,1310.498943955
