Year,Emissions
1970,91.663720409812
1971,92.388301364564
1972,95.329817496508
1973,96.505180746378
1974,97.46945790375
1975,104.00780194982
1976,104.92635675648
1977,107.90321577838
1978,114.11405177477
1979,118.11392361719
1980,121.66818580493
1981,118.08323257364
1982,120.14941924317
1983,119.09861373833
1984,117.1086032978
1985,118.60864097286
1986,119.65183999488
1987,119.73159077475
1988,119.05277848904
1989,117.15324461052
1990,104.98645119888
1991,90.792576424322
1992,85.905725300525
1993,85.130604513884
1994,79.371311777944
1995,77.538810867867
1996,78.010778590822
1997,75.169486529438
1998,72.180166854838
1999,64.964641395214
2000,63.138484640512
2001,64.94600429383
2002,61.560475269262
2003,67.606914732215
2004,65.902762329629
2005,66.755275490325
2006,68.135252909639
2007,71.872825065524
2008,68.651236301869
2009,60.413959068321
2010,63.182016076786
2011,68.821020539012
2012,63.501179023209
2013,58.100181866969
2014,60.590601708106
2015,64.905824474412
2016,62.593978767055
2017,65.315776320998
2018,62.098069066631
2019,60.706300432101
2020,56.07557290606
2021,63.361254485266
2022,68.413545071896
