Year,Emissions
1970,6.8013915963315
1971,6.8349176497871
1972,6.5143493451928
1973,6.2264466799058
1974,6.3418373091476
1975,6.5501133281759
1976,6.7349306268069
1977,6.8537872602588
1978,7.1135755296559
1979,7.4372987624929
1980,7.646532035085
1981,7.9539987903289
1982,8.2947641122627
1983,8.5533817274975
1984,8.7721505021523
1985,9.7231187716144
1986,10.086297162393
1987,10.470595783592
1988,10.774308443022
1989,11.021973828537
1990,11.28348123112
1991,11.88635102386
1992,12.01947357274
1993,12.301213298678
1994,12.675917412562
1995,13.085613772704
1996,13.461249719961
1997,14.020305407263
1998,14.439869364771
1999,14.45335594155
2000,14.868533804771
2001,15.945445312552
2002,16.370905188451
2003,19.698284569642
2004,20.062695409477
2005,20.701360909465
2006,21.183160853111
2007,22.177851848122
2008,23.228193713869
2009,23.689926048454
2010,24.559423805986
2011,25.299102982067
2012,26.251545686412
2013,27.27979306554
2014,27.622826196953
2015,29.416942169631
2016,30.147934480131
2017,31.296595451081
2018,32.546771873788
2019,33.729529003572
2020,34.404999727538
2021,35.582715598622
2022,36.497073111801
