Year,Emissions
1970,2.284847020745
1971,2.2816551107705
1972,2.3774430574933
1973,2.4349979267417
1974,2.4606933304153
1975,2.5467963665469
1976,2.5654716136696
1977,2.5863794496807
1978,2.6265139253615
1979,2.7054054765381
1980,2.476041543667
1981,2.2863259359294
1982,2.3182829593478
1983,2.3743707911264
1984,2.4586245065213
1985,2.4220550872483
1986,2.6298680764894
1987,2.6835992845623
1988,2.8189835049434
1989,2.8770346731302
1990,3.0592034406814
1991,3.1987476243571
1992,3.1536106124921
1993,3.1868308211165
1994,3.141269822301
1995,3.2380988190795
1996,3.3119015722602
1997,3.3667534479715
1998,3.3261191329973
1999,3.2480339045254
2000,3.332463496394
2001,3.3540878739353
2002,3.3367957846963
2003,3.4044240663602
2004,3.5981842690995
2005,3.7319161093769
2006,3.9659954701394
2007,4.2728971527268
2008,4.3297949885263
2009,4.5521767497865
2010,4.9456364597824
2011,5.2746951339707
2012,5.3415926732642
2013,6.0701562668429
2014,6.0751029069544
2015,6.1403604856853
2016,6.512932755661
2017,7.2234337907201
2018,7.519677829348
2019,7.1775712646564
2020,7.1409305585396
2021,7.3323706622198
2022,7.4799442272074
