Year,Emissions
1970,26.301005911937
1971,22.029758886706
1972,18.144174817092
1973,13.576470770346
1974,11.367491407551
1975,12.533881987241
1976,12.034620681931
1977,11.541411215538
1978,11.227708743241
1979,9.2876139124758
1980,13.970474226993
1981,13.423673053072
1982,16.640049755291
1983,16.757745538723
1984,13.063394046969
1985,16.372907798964
1986,17.176581385378
1987,16.589539046476
1988,19.423930742957
1989,20.297058424143
1990,20.264917589079
1991,19.641743546715
1992,20.006821103709
1993,20.776798832888
1994,18.904713681405
1995,23.763047938783
1996,23.688736980618
1997,24.130643752874
1998,24.225422675914
1999,24.700108486663
2000,24.143450580024
2001,24.886733955742
2002,25.10938524496
2003,27.094062014305
2004,26.733052171818
2005,28.92350462142
2006,30.475306649562
2007,31.58955603747
2008,32.359994151659
2009,33.804647109957
2010,34.3500429505
2011,35.677232327064
2012,35.373864303905
2013,35.214199529741
2014,36.033700304211
2015,37.39377604576
2016,40.03567393049
2017,42.488533830257
2018,43.614311925532
2019,47.601809834544
2020,48.596171546765
2021,49.689539426021
2022,50.016265267138
