Year,Emissions
1970,7.9478958882899
1971,8.2968375297602
1972,8.1050070952193
1973,8.1611309273376
1974,8.3802615664149
1975,9.0817658446608
1976,9.4144778410764
1977,10.416344390537
1978,11.35145966554
1979,13.695677933911
1980,16.773383644246
1981,19.694177607617
1982,21.467794838291
1983,24.039815687558
1984,26.990272491698
1985,31.216416762099
1986,31.676666401924
1987,31.580755036231
1988,29.025327734957
1989,31.643281323214
1990,31.266318390183
1991,30.532565709292
1992,29.583947078342
1993,28.871238276337
1994,28.136973320665
1995,28.768282400797
1996,30.137157453175
1997,29.777293912854
1998,30.533994253533
1999,31.272396392651
2000,32.696139974015
2001,32.79105050757
2002,31.715477802627
2003,32.440322441566
2004,32.251343964387
2005,32.468151563166
2006,31.779813797689
2007,32.635638419426
2008,32.484847912003
2009,33.260548508179
2010,32.973350306128
2011,32.620592160604
2012,33.499815235107
2013,35.735336508739
2014,37.810933827996
2015,41.035039342775
2016,42.262015238675
2017,40.731043873593
2018,41.765964332298
2019,42.63025491471
2020,43.534233047172
2021,43.665142134417
2022,43.171316924855
