Year,Emissions
1970,2142.6141579117
1971,2196.1165146626
1972,2275.7146148222
1973,2320.1130435464
1974,2343.8530345127
1975,2537.685651994
1976,2601.0856741216
1977,2780.1423894195
1978,2973.8033912668
1979,3018.0833716512
1980,2989.4432755066
1981,2957.9774141715
1982,3043.9026388494
1983,3159.2865635856
1984,3350.3374164791
1985,3359.3313743899
1986,3498.5758590154
1987,3685.8646429198
1988,3879.2213414672
1989,3999.9537788067
1990,4073.5630061475
1991,4208.6077255964
1992,4321.2762752273
1993,4525.3592886256
1994,4706.6071860513
1995,5134.0760334648
1996,5130.2463678653
1997,5168.317248648
1998,5252.2061557905
1999,5199.8208339021
2000,5425.5125686339
2001,5624.5677254084
2002,5959.5429824447
2003,6677.890669633
2004,7556.1060841538
2005,8431.9220060703
2006,9232.2613730499
2007,9845.3022358278
2008,10069.845690605
2009,10696.090417083
2010,11565.470007766
2011,12572.884148673
2012,12928.229140485
2013,13485.440504544
2014,13650.133433683
2015,13479.880369143
2016,13447.136416728
2017,13710.100288845
2018,14296.571168268
2019,14606.127586437
2020,14879.556512038
2021,15632.89460772
2022,15684.626764781
