Year,Emissions
1970,2.5399556325874
1971,2.825997861467
1972,3.0619402356784
1973,11.6527928891
1974,15.997909140011
1975,10.495362330876
1976,10.506959499373
1977,5.0413424422691
1978,4.6809180038691
1979,4.8508171020356
1980,5.8142819265655
1981,6.900223429166
1982,7.7434301928484
1983,7.9205234565933
1984,9.4527662040457
1985,9.2756242788884
1986,9.2012058107246
1987,9.8508526233859
1988,10.767454593834
1989,11.462872855581
1990,11.465806150982
1991,11.359278006247
1992,11.471240265215
1993,11.863542445172
1994,10.463457624508
1995,12.810331422061
1996,16.406765380467
1997,17.129136591251
1998,20.437004282568
1999,20.862328660462
2000,22.604008610831
2001,21.10790150018
2002,14.133030499319
2003,15.830277844273
2004,17.05612679736
2005,20.723057695217
2006,22.809701335775
2007,19.641967631276
2008,19.508561986668
2009,21.288192273806
2010,23.204113855354
2011,22.32776648257
2012,21.510975682748
2013,20.887743266114
2014,21.350646846191
2015,21.237454012829
2016,20.959884235583
2017,22.759232288126
2018,26.579412570854
2019,27.841361400072
2020,26.664267905424
2021,25.105095679649
2022,25.962414271284
