Year,Emissions
1970,5.9922417743179
1971,6.1704139999236
1972,6.5304492507151
1973,7.1645492515418
1974,7.1839299243688
1975,7.5063076884563
1976,7.633239979003
1977,8.3689938923017
1978,8.7869886049945
1979,9.0024976431783
1980,8.8192369286685
1981,8.9601915574244
1982,8.6544718682552
1983,8.9192975397581
1984,9.1475519065329
1985,9.0564748453435
1986,9.1620793843061
1987,9.3401566684559
1988,9.4515285885085
1989,9.7850460221704
1990,10.004659852375
1991,10.298183720443
1992,11.516521160867
1993,11.55689516303
1994,11.957842378385
1995,11.476216349206
1996,11.385431538237
1997,11.39993100895
1998,11.996796248366
1999,11.746332696469
2000,11.479416247491
2001,11.674823797671
2002,11.711196289048
2003,12.181445736452
2004,12.458638678903
2005,12.441250352641
2006,12.87787787286
2007,14.032042168762
2008,14.209763477948
2009,14.034156840764
2010,14.186629482641
2011,14.88172807551
2012,14.560307668914
2013,14.907011510554
2014,15.223935984575
2015,14.988570991779
2016,15.669960986239
2017,16.056253915323
2018,16.588437135589
2019,16.551175279641
2020,15.058801681291
2021,16.208057694264
2022,16.861415789351
