Year,Emissions
1970,6.6794851931593
1971,6.804090976829
1972,7.2359847676354
1973,7.4497421540757
1974,7.697727358883
1975,8.2468224214961
1976,8.9453937075986
1977,9.1616614924705
1978,9.97672218371
1979,9.8769574740934
1980,9.78376376304
1981,9.8783167231039
1982,10.286339825607
1983,11.808855137067
1984,11.72502263546
1985,11.702814550879
1986,11.709261870453
1987,11.678218194887
1988,11.64158452163
1989,11.285373702235
1990,11.278429415327
1991,11.660885292887
1992,11.864516141596
1993,12.067647006045
1994,13.03204685835
1995,13.715383369058
1996,15.230411576895
1997,16.679904046458
1998,16.515017826683
1999,18.693421324339
2000,18.657613905495
2001,18.914952980333
2002,19.77796598704
2003,18.321747194719
2004,19.185010960401
2005,20.283629221286
2006,20.544976703186
2007,20.659933182838
2008,21.419056452337
2009,20.854321412409
2010,22.293635808701
2011,22.951066937011
2012,25.645473925166
2013,27.088005015898
2014,28.067005252511
2015,29.235774287817
2016,30.40181592724
2017,31.455354636102
2018,31.672046449168
2019,33.346275732886
2020,33.634984747311
2021,35.295016614588
2022,36.177224157988
