Year,Emissions
1970,28.751208180026
1971,28.831723484319
1972,28.571754138262
1973,30.080949594475
1974,31.333828497313
1975,32.083197963495
1976,31.560611996897
1977,31.110565572962
1978,32.170786350491
1979,33.879140222285
1980,31.284577688897
1981,33.265392644152
1982,33.847242427068
1983,36.952012611063
1984,38.284844165462
1985,39.074002574774
1986,41.420323284861
1987,40.747740293804
1988,43.775785578466
1989,42.075885383737
1990,34.067593442597
1991,26.240507414036
1992,23.898697741324
1993,24.044836978744
1994,23.088965930333
1995,23.717550577857
1996,23.552869180992
1997,25.644401651047
1998,25.9539278533
1999,26.205985109929
2000,25.856996950645
2001,27.00960014368
2002,27.779553625872
2003,29.365950934255
2004,29.990574461907
2005,30.0058019973
2006,30.63111343966
2007,32.477895266493
2008,31.10849641732
2009,29.248227420422
2010,28.584234346907
2011,28.196809574427
2012,26.200418944293
2013,25.852705325673
2014,25.05992848986
2015,25.75586214963
2016,26.120519743016
2017,26.537832182566
2018,25.239103989023
2019,25.309281713499
2020,24.329266268488
2021,24.162828881713
2022,24.177776858654
