Year,Emissions
1970,15.078583486922
1971,15.079804712489
1972,14.655983053899
1973,16.207121176299
1974,14.673434605
1975,10.588782180954
1976,11.262906733836
1977,11.399491293872
1978,9.6865063768495
1979,9.581679910121
1980,9.090548666009
1981,8.4261420628454
1982,7.6491682790693
1983,7.184108433433
1984,7.0090892593312
1985,4.6975783904068
1986,4.4866355420726
1987,4.1656055969344
1988,3.6579663630137
1989,3.1455338629236
1990,2.8559469534826
1991,2.9588185527068
1992,3.0928565172944
1993,2.570472639097
1994,2.8790684700844
1995,2.8859917527247
1996,2.9159002996896
1997,5.5402517673415
1998,5.7256335717953
1999,5.6767259740303
2000,5.8987250570533
2001,5.8972822766744
2002,5.63997349552
2003,5.6404771383927
2004,5.8621274193964
2005,6.1461538392814
2006,6.0045202919299
2007,6.4924153304652
2008,6.4339382855416
2009,6.0940068275071
2010,4.4504207736032
2011,5.7209678961344
2012,5.8146340037115
2013,5.345672905028
2014,5.8843283383102
2015,5.9466918942043
2016,5.169312814947
2017,4.1715413636053
2018,3.3793407382171
2019,2.6207096984424
2020,2.1583709597846
2021,2.0814870017636
2022,2.1544734856154
