Year,Emissions
1970,2.9420395485956
1971,2.9802591099235
1972,3.4749920840844
1973,3.5934775849781
1974,2.8542606624668
1975,2.7820708423178
1976,3.2267753527127
1977,3.4082706623511
1978,3.5474107497063
1979,3.7431584800978
1980,3.9285319936258
1981,3.8097474805532
1982,3.9017794299535
1983,3.9055966469176
1984,3.9880111056157
1985,3.9486381377877
1986,4.3120741673226
1987,4.9079950455201
1988,4.9807986236675
1989,5.2373641949772
1990,5.5483122884089
1991,6.0888236604209
1992,6.4926909024134
1993,6.7811746029525
1994,7.0611843133867
1995,6.951601238475
1996,7.3502308180215
1997,7.4311021045649
1998,7.7613213588134
1999,8.0409426776102
2000,8.3062719956694
2001,8.2289688466941
2002,8.4512421935776
2003,9.125968336652
2004,9.071740748127
2005,9.1787363779589
2006,9.2971344539039
2007,9.5992298466083
2008,9.8006774111029
2009,9.6021859790498
2010,9.681626932528
2011,9.4461013749585
2012,8.8408639325564
2013,8.1174212701763
2014,8.5165613614959
2015,8.589967609778
2016,9.0158223817664
2017,9.1967923464383
2018,9.4459214952086
2019,9.9873809768355
2020,9.5355751248335
2021,10.377754444509
2022,10.629908362775
