Year,Emissions
1970,80.430361027756
1971,75.91210580971
1972,77.564671224173
1973,77.076326666874
1974,71.736631255412
1975,73.400706982664
1976,77.803003783119
1977,81.173370403333
1978,81.109199115395
1979,84.225891160852
1980,84.70296687972
1981,72.557452027533
1982,75.493681234682
1983,73.375958972911
1984,72.458464208715
1985,80.029183539992
1986,81.101381933366
1987,78.674871346235
1988,74.230853610704
1989,69.142962304225
1990,69.457561957323
1991,80.25454524317
1992,74.302203879231
1993,76.976685250034
1994,80.808765741497
1995,77.834954489828
1996,91.386764625902
1997,81.59790063128
1998,77.531028524949
1999,74.546285598276
2000,70.571108488809
2001,72.232694954692
2002,71.422660453011
2003,76.941628693129
2004,70.900340212786
2005,67.25702434785
2006,74.482626289048
2007,69.875734616652
2008,66.221149810864
2009,63.806233114817
2010,64.147025418437
2011,58.834549627812
2012,53.974832236067
2013,56.155863088607
2014,51.99105685625
2015,50.052379957977
2016,52.002101050353
2017,49.838767396169
2018,49.977989146312
2019,46.619093494647
2020,44.054006520252
2021,47.089341027876
2022,45.79517676228
