Year,Emissions
1970,4611.3257656347
1971,4637.8510971783
1972,4788.9333676374
1973,5005.0250566017
1974,4963.5170823213
1975,4878.0091159907
1976,5145.6290693773
1977,5133.6888739732
1978,5302.605653759
1979,5459.4385594512
1980,5368.4161426647
1981,5162.2832704177
1982,5076.2717750854
1983,5057.9182510466
1984,5097.236098649
1985,5103.7956437277
1986,5104.8346279457
1987,5143.9807864958
1988,5125.5288162625
1989,5114.3208256883
1990,4915.1439522225
1991,4835.7982452605
1992,4653.6011288619
1993,4565.8098316012
1994,4551.5691272745
1995,4599.9922515
1996,4709.5490269231
1997,4631.7012124536
1998,4578.976491951
1999,4503.2272858396
2000,4513.3396245522
2001,4548.7184165043
2002,4537.074102374
2003,4624.2310452819
2004,4630.0529339134
2005,4597.1045723476
2006,4598.8993620379
2007,4560.2824474827
2008,4452.7117863529
2009,4160.4013566684
2010,4275.695262703
2011,4168.2545306991
2012,4106.5876774847
2013,4019.1502787466
2014,3869.4416881944
2015,3922.0220836475
2016,3926.5617414981
2017,3952.3294928298
2018,3870.9203591298
2019,3713.0976544586
2020,3427.4398242273
2021,3617.7357064461
2022,3587.796149699
