Year,Emissions
1970,14.207456355286
1971,13.360367451329
1972,15.200460819167
1973,18.642026365348
1974,19.797755411036
1975,20.610419029973
1976,22.66055139778
1977,24.132852411444
1978,25.503900121213
1979,27.218760718171
1980,28.404491550985
1981,30.124261861416
1982,30.495895720106
1983,29.905842489835
1984,31.912743591572
1985,33.437097549802
1986,34.962021308466
1987,32.405398246723
1988,36.781658613055
1989,36.820576692582
1990,38.508686488422
1991,38.987586473066
1992,41.85564915353
1993,42.947092794058
1994,45.1433805336
1995,47.933358554559
1996,52.259768012716
1997,53.599902354634
1998,51.336852762391
1999,47.988130741067
2000,46.212903911021
2001,50.255816321198
2002,50.631913669365
2003,52.561287058397
2004,55.882950470866
2005,56.604819628166
2006,58.987621218676
2007,59.332662286332
2008,60.349965634552
2009,64.721804655466
2010,68.564363770788
2011,69.140436405391
2012,69.446423506979
2013,72.640738652544
2014,74.165304150328
2015,72.770293339673
2016,71.857242865925
2017,70.234265040662
2018,71.308076689776
2019,71.210550649105
2020,65.798890108955
2021,73.260407507552
2022,76.943687861958
