Year,Emissions
1970,62.238625821854
1971,62.49643466688
1972,63.447755837166
1973,60.127710147265
1974,64.660162979074
1975,68.924972665425
1976,76.617663044191
1977,80.014618719214
1978,82.8967522855
1979,86.89107081248
1980,92.981807332613
1981,99.91583584424
1982,106.41467996004
1983,114.03812116867
1984,123.00559397443
1985,128.4579225377
1986,131.65263979625
1987,140.63022829014
1988,142.15802210234
1989,149.07847900737
1990,153.02058038604
1991,162.7682229477
1992,165.55413857252
1993,167.44064810511
1994,162.82478629411
1995,172.55606429576
1996,182.459076183
1997,189.40220316168
1998,193.52947629784
1999,207.11691993203
2000,206.83760909915
2001,222.86055442147
2002,230.40880430795
2003,236.83135382336
2004,253.13146615468
2005,278.86003816993
2006,292.42917137725
2007,307.27263672263
2008,311.09676216105
2009,318.60111926057
2010,317.03845069169
2011,327.06355633774
2012,341.40862018723
2013,333.69693189463
2014,337.41953446511
2015,342.42886705741
2016,356.10256590563
2017,378.6449640269
2018,382.44236995467
2019,343.75850226217
2020,336.00907783251
2021,360.3953179982
2022,377.78005750643
