Year,Emissions
1970,5.9632770454928
1971,5.8488864846162
1972,6.2149947319148
1973,6.2143596204263
1974,6.358803762916
1975,6.7142735260988
1976,7.0063412567268
1977,7.429202013546
1978,7.8165008433352
1979,7.5952645375314
1980,6.8518299847506
1981,6.7460970295526
1982,6.2576761387989
1983,6.3932030730429
1984,6.3184551011589
1985,6.7690842558174
1986,6.7245307887154
1987,7.3422307548895
1988,7.4205976711742
1989,7.4629055621554
1990,7.7770714802003
1991,8.6591699664946
1992,9.2078454308148
1993,9.4738066661062
1994,10.231275669274
1995,10.427161261231
1996,10.395130709521
1997,11.568372560316
1998,11.491488519385
1999,11.604874648481
2000,11.111353542622
2001,11.69158294039
2002,11.865907167049
2003,12.332874947468
2004,12.751473584061
2005,13.029306599614
2006,13.532599659328
2007,13.774005523759
2008,12.921328093519
2009,12.659205810379
2010,12.311316548987
2011,12.228356553235
2012,12.493064730714
2013,11.657518460503
2014,12.149654543916
2015,12.649439657295
2016,12.598849594063
2017,11.956506215391
2018,12.152927720605
2019,13.125095261592
2020,11.793275891736
2021,12.663526023573
2022,13.073881103725
