Year,Emissions
1970,0.11503500702558
1971,0.11501555799731
1972,0.12029690558646
1973,0.095996639350613
1974,0.10138272469249
1975,0.10370279012013
1976,0.10588873103001
1977,0.10548880302282
1978,0.14072403921448
1979,0.13822580077994
1980,0.14362233761492
1981,0.15489016163658
1982,0.15320350888941
1983,0.12881035848186
1984,0.14288816189714
1985,0.13680531521658
1986,0.14711579174039
1987,0.16909779187613
1988,0.16901262655731
1989,0.187278289711
1990,0.18230044868796
1991,0.19074359569616
1992,0.19451261907918
1993,0.2135334605364
1994,2.8282579449178
1995,3.2250898599434
1996,5.3805059287589
1997,7.8093757883469
1998,9.7408518609482
1999,10.686353094734
2000,12.417679824933
2001,14.140951925537
2002,11.511908746415
2003,12.749937503408
2004,17.497356355747
2005,17.072772428514
2006,18.528020887607
2007,20.268744012327
2008,20.091382875788
2009,18.781865594104
2010,19.180427797534
2011,19.495121971436
2012,19.601432911842
2013,18.965097373551
2014,18.951142663427
2015,18.668134731271
2016,17.927316910293
2017,16.576499674492
2018,14.39636319409
2019,13.144878288693
2020,12.714557782147
2021,12.858986613978
2022,11.551904881792
