Year,Emissions
1970,4.1735646456963
1971,4.2070932542899
1972,4.1615993171994
1973,4.2087474264496
1974,4.1763999512559
1975,4.0876151517667
1976,4.08956472324
1977,4.0779243759661
1978,4.1373944096449
1979,4.2141148789851
1980,4.2744372279412
1981,4.3404449236523
1982,4.3479465399337
1983,4.4675538428963
1984,4.3792797920958
1985,4.4914877778542
1986,4.5878681693108
1987,4.550107451703
1988,4.6198308580153
1989,4.7575642345584
1990,4.8323271111553
1991,4.9377863599857
1992,5.1681775648914
1993,4.3967045680736
1994,4.6117770504082
1995,4.7465654056625
1996,5.2333359058161
1997,5.6504595479356
1998,5.4266713041081
1999,5.5680900555886
2000,5.6780759174736
2001,5.6041006578429
2002,5.5703052826306
2003,5.7000365551645
2004,5.7836255978172
2005,5.7633366370579
2006,5.6258045809731
2007,5.8521014691708
2008,5.8071416291138
2009,5.8784240979054
2010,5.88022067858
2011,6.1718614826375
2012,6.252709425772
2013,6.2911386216772
2014,6.3550015285961
2015,6.3985345602521
2016,6.4970532021297
2017,6.5280433585045
2018,6.6615979541094
2019,6.7172294813135
2020,6.782815660847
2021,6.8930652941653
2022,6.9518999580532
