Year,Emissions
1970,20.225594438796
1971,20.645959873971
1972,21.666261576557
1973,22.902746469981
1974,24.062714640984
1975,25.268423212861
1976,26.152329163706
1977,26.688104438869
1978,27.632134279117
1979,28.290007820737
1980,29.051677977522
1981,28.890867430749
1982,29.460440820131
1983,29.917487665006
1984,30.220240833438
1985,30.598047265825
1986,31.53873706173
1987,32.527782925418
1988,32.734024323706
1989,32.682342753718
1990,43.093369336089
1991,39.606186005218
1992,29.480942872645
1993,24.487771292025
1994,24.715984558043
1995,22.460622412449
1996,23.568336538571
1997,23.831550942177
1998,21.945816184177
1999,20.440631735443
2000,20.716795203161
2001,21.043691574477
2002,20.143275357041
2003,22.317010769805
2004,22.729609900578
2005,22.733512326033
2006,21.701940687525
2007,25.569075245655
2008,23.708550548865
2009,20.268308782832
2010,25.33835576704
2011,25.523355041764
2012,24.485550077509
2013,26.783848741206
2014,26.016597630134
2015,24.051130650166
2016,23.933115474801
2017,25.3197291965
2018,26.621944626852
2019,18.883123470142
2020,14.63258386188
2021,14.730195130416
2022,13.809327685697
