Year,Emissions
1970,637.74942683669
1971,648.78655987448
1972,665.6359094158
1973,702.65492648268
1974,683.7066116564
1975,643.09752288361
1976,686.99844273784
1977,670.19607122743
1978,687.62182480323
1979,696.65639899848
1980,674.06861848843
1981,623.16920648217
1982,602.07515684906
1983,587.63840402323
1984,575.38363485635
1985,559.63492480877
1986,547.00938668545
1987,537.08783189243
1988,533.68873375675
1989,541.97627128785
1990,535.18677171358
1991,565.93517405209
1992,551.54455295855
1993,529.26559210432
1994,523.97174215624
1995,534.50388653114
1996,552.90468970339
1997,539.35023062634
1998,551.41116283784
1999,543.80187444973
2000,544.03042616324
2001,548.386083819
2002,541.89470728867
2003,545.08300766459
2004,546.06441110206
2005,546.46963444452
2006,532.62772856815
2007,526.90457265336
2008,519.76467978322
2009,504.83237708697
2010,514.62200466096
2011,497.36821455612
2012,499.57697327078
2013,493.96393152332
2014,460.20262294147
2015,464.52504134114
2016,466.61248686358
2017,469.61189680041
2018,456.09271552709
2019,446.23886129494
2020,405.71527761696
2021,442.58700799129
2022,430.36333753172
