Year,Emissions
1970,0.21305534135874
1971,0.21501233044923
1972,0.22508397324596
1973,0.25644026888704
1974,0.29840564134562
1975,0.26235314558302
1976,0.26181244934193
1977,0.27513056039068
1978,0.27567265252896
1979,0.29189634434479
1980,0.31200378644321
1981,0.43621640819596
1982,0.53280625267433
1983,0.67053703001094
1984,0.86970963723611
1985,0.84453790586678
1986,0.92195822642923
1987,1.032666375032
1988,1.0270043114482
1989,1.0008953187252
1990,0.96061473310987
1991,0.97142346735197
1992,0.93133175965695
1993,0.91654165267403
1994,0.7811580349736
1995,0.78334003934311
1996,0.78716168219338
1997,0.84249809006206
1998,0.8743428061115
1999,0.85488746927875
2000,0.94133379262797
2001,1.0491374030712
2002,1.0847621214216
2003,1.1430154022041
2004,1.0894989764932
2005,1.1500520814321
2006,1.0858067100633
2007,1.1012678727143
2008,1.12636235044
2009,1.1234317809904
2010,1.1620558786944
2011,1.1328101138022
2012,1.0998255791049
2013,1.1638075916647
2014,1.1535108554173
2015,1.1907978021697
2016,1.1937289034776
2017,1.1890147581018
2018,1.2231374299524
2019,1.2784293238829
2020,1.0614492277423
2021,1.0992207419443
2022,1.1221122216285
