Year,Emissions
1970,29.319175565237
1971,29.963898833485
1972,31.517308617913
1973,32.689820490606
1974,33.659970385468
1975,35.559740419997
1976,36.089744728433
1977,36.262719935949
1978,37.422485254806
1979,38.493140000896
1980,39.298217832156
1981,38.979586534355
1982,38.683258105194
1983,38.488294077357
1984,38.999471240759
1985,39.163057750205
1986,39.820158329552
1987,41.014719821335
1988,41.457495386101
1989,41.472592533152
1990,42.124284507877
1991,33.745125149483
1992,27.546065037428
1993,22.959599507897
1994,16.550568950709
1995,14.074565541688
1996,12.650127706942
1997,11.944638434133
1998,11.293523509598
1999,11.008039482322
2000,11.536962804756
2001,9.7758980910297
2002,9.6288867100348
2003,10.131248055576
2004,10.401358123764
2005,11.260490952367
2006,11.690619857225
2007,12.643344149764
2008,11.597077397712
2009,12.6332397198
2010,12.026642013535
2011,13.467491526935
2012,14.627793630074
2013,15.486208999783
2014,16.294192887464
2015,16.472348406541
2016,16.877258710313
2017,17.047802423896
2018,16.897317311446
2019,17.659117870411
2020,17.309271925009
2021,17.944412858637
2022,18.045755277995
