Year,Emissions
1970,45.373446274908
1971,46.955135455026
1972,54.328983273319
1973,57.779613596073
1974,58.01019068223
1975,60.054997073155
1976,65.326980360199
1977,67.559427480835
1978,70.50544407344
1979,73.938202166148
1980,74.14528526368
1981,73.74718014456
1982,75.400098864589
1983,79.079215481612
1984,81.083653098927
1985,84.566942899227
1986,84.118000915706
1987,89.179433430326
1988,94.14230239973
1989,98.74253799558
1990,99.514270967542
1991,99.307744795615
1992,101.17710150555
1993,101.16252857547
1994,103.6848691002
1995,108.04659924993
1996,109.00071317515
1997,110.23138993892
1998,114.38465688491
1999,115.505362182
2000,121.69486121079
2001,122.29444643282
2002,123.01940524262
2003,126.50497027204
2004,126.66221128571
2005,128.97559592663
2006,125.66969617387
2007,129.97665849138
2008,125.5044977094
2009,119.46448258436
2010,112.25164878316
2011,109.19415852022
2012,104.44544603134
2013,96.470120169767
2014,93.367660253696
2015,91.373922221868
2016,89.727894507474
2017,89.820053646308
2018,87.19900905597
2019,81.801026101118
2020,71.933469571823
2021,73.546353549574
2022,76.031234054115
