Year,Emissions
1970,8.9506393726793
1971,9.4111411475581
1972,10.016328443551
1973,10.213273791016
1974,10.144642697535
1975,10.60436726438
1976,10.287624572244
1977,11.16696532468
1978,11.782424301824
1979,12.518365784656
1980,13.017661123844
1981,12.651273978465
1982,12.325248306638
1983,12.215071541654
1984,12.562027545697
1985,12.901558653846
1986,12.598104626122
1987,13.064215542886
1988,13.243927479718
1989,13.706312967179
1990,14.150676163095
1991,14.776443945499
1992,15.983405810537
1993,17.032808131099
1994,17.453016139023
1995,18.715767384976
1996,18.760294418397
1997,19.449421284509
1998,21.430957763934
1999,22.08847346211
2000,23.209152942338
2001,24.126641973216
2002,25.342690873148
2003,25.220035349494
2004,26.073725185721
2005,27.402901232614
2006,28.043972372324
2007,29.257252288818
2008,28.743240549716
2009,30.114645273196
2010,30.19847809317
2011,30.859978346374
2012,31.871373304559
2013,33.500876854235
2014,35.248085044218
2015,38.082704938652
2016,39.626098070314
2017,39.327591579192
2018,41.521103041623
2019,42.977403669544
2020,41.614485020202
2021,44.524112101129
2022,45.018330559986
