Year,Emissions
1970,0.84450416855164
1971,0.85958591414608
1972,0.88785833687414
1973,0.92196238424188
1974,1.0258933289308
1975,1.188364170222
1976,1.2931370322215
1977,1.2645184011002
1978,1.1766086339863
1979,1.2077211646497
1980,1.2373583637304
1981,1.4036464295694
1982,1.7166485802755
1983,1.6239228012737
1984,1.5452350689734
1985,1.3751620170694
1986,1.3768732949759
1987,1.4891292813126
1988,1.5120285262588
1989,1.5887767916359
1990,1.6634569748844
1991,1.7392722381415
1992,1.737384656271
1993,1.7613070017657
1994,1.787767983615
1995,1.8431019577876
1996,1.8645478925952
1997,1.8706983552693
1998,1.892271938571
1999,1.9921236814839
2000,2.0127285402872
2001,2.0137847920371
2002,2.0461284515416
2003,2.1075931023538
2004,2.1384776200952
2005,2.1822538057219
2006,2.2736008290572
2007,2.3739001080685
2008,2.4613310974296
2009,2.5604402965534
2010,2.6869404274685
2011,2.7126171802351
2012,2.84579196251
2013,2.9533343791945
2014,2.8282172854434
2015,2.977997436531
2016,3.035212406961
2017,2.9335285502995
2018,3.0089500214131
2019,3.0843619307521
2020,3.1376121207374
2021,3.1919861687324
2022,3.2433356889383
