Year,Emissions
1970,5.1720241148391
1971,5.2133409018897
1972,5.2989544599367
1973,5.4462949365295
1974,5.5821176955459
1975,5.7444414677005
1976,5.8289759747032
1977,5.9107271745035
1978,5.9785289002183
1979,6.1297473893495
1980,6.1799277278291
1981,6.2340292999211
1982,6.5406977479653
1983,6.717972022642
1984,6.7275582117201
1985,6.5813258936187
1986,6.3355983888422
1987,7.0188122511451
1988,7.2614537354112
1989,7.5238024735709
1990,7.9011828422885
1991,8.2193617509661
1992,8.113015176999
1993,8.4231937466933
1994,8.8908540411153
1995,9.2447191996193
1996,9.8404439443719
1997,9.6205530899039
1998,9.9994579695627
1999,10.697836109361
2000,11.5043596049
2001,11.762987924675
2002,12.21235468123
2003,12.752997651411
2004,13.269839082793
2005,13.7811935184
2006,14.372549614885
2007,14.91623741533
2008,15.613947046762
2009,16.224157438416
2010,18.980106782329
2011,19.940856459047
2012,20.615765241885
2013,21.078591748253
2014,21.940963419908
2015,23.196675844805
2016,24.216691164263
2017,25.208130711597
2018,26.118359415293
2019,26.759216962429
2020,27.240035588158
2021,28.288834994745
2022,29.280412094538
