Year,Emissions
1970,5.0985818965391
1971,5.0162498010344
1972,4.7680247761162
1973,5.1816568229288
1974,5.2711925137799
1975,5.7791064177927
1976,5.336533531602
1977,5.7400696416939
1978,5.373665550315
1979,4.8398908482396
1980,5.0353657555342
1981,4.9695943830823
1982,4.7983673956209
1983,4.395544426898
1984,4.6722835001379
1985,4.4241308423636
1986,4.3830354535036
1987,4.3084880420664
1988,4.3384675804959
1989,4.0790076715469
1990,3.8492075323571
1991,4.0392420179871
1992,4.0878002929854
1993,4.2740446936418
1994,4.5415184030485
1995,4.9177986742162
1996,4.9666974410587
1997,5.1539541305339
1998,5.0452568408751
1999,5.122892831154
2000,4.7963784807326
2001,4.7582981754399
2002,4.5870793188617
2003,4.8129571257028
2004,4.7219813788768
2005,4.4470678121511
2006,4.2345623160741
2007,4.5629246245633
2008,4.6543777549802
2009,4.73790111607
2010,4.9637671510576
2011,5.0872528367433
2012,5.3037852104522
2013,5.4369908045072
2014,5.6943141974401
2015,5.777665323644
2016,5.8393153457988
2017,5.9915226427107
2018,6.0608270587264
2019,6.3824096341134
2020,7.2737842677898
2021,7.6709077136482
2022,7.7909590933317
