Year,Emissions
1970,6.4410336703273
1971,6.5886739224167
1972,6.6976355115206
1973,6.6803168559219
1974,6.6769624617892
1975,6.6669770182443
1976,6.9309993273087
1977,7.0519124766892
1978,7.2935492273776
1979,7.3861756090645
1980,7.4596361255373
1981,7.4281257498553
1982,7.6441822507809
1983,7.8229266045734
1984,7.9102231591713
1985,7.8968160654363
1986,7.8133761556579
1987,7.8175381296961
1988,7.8718550717292
1989,7.8446199931123
1990,7.925305808639
1991,8.1478336026528
1992,8.5632228925532
1993,8.306085283609
1994,7.8743374274797
1995,8.7043727830514
1996,9.0097446785021
1997,9.5478143360927
1998,9.761147183421
1999,9.9670961428864
2000,10.479256239244
2001,10.620277889282
2002,10.964006941729
2003,11.066661340103
2004,11.031271782874
2005,11.250642978957
2006,11.427001693722
2007,11.977152944588
2008,12.108115260405
2009,12.294175960299
2010,12.978475708126
2011,13.55494036909
2012,13.424200192645
2013,13.703887892838
2014,14.163617751737
2015,14.516004592026
2016,14.837527780025
2017,14.850222310735
2018,14.773204468944
2019,14.977288509335
2020,14.774369041582
2021,14.708915176031
2022,14.874059573118
