Year,Emissions
1970,6.0440379762517
1971,6.1385693280143
1972,6.2793235401287
1973,6.4593405663135
1974,6.7059815495984
1975,6.9399348582958
1976,7.0886175584277
1977,7.3571008330117
1978,7.4424801181828
1979,7.6449768925056
1980,7.8698398340788
1981,7.9025629566968
1982,7.9483483995758
1983,9.0282766904583
1984,9.4084395714533
1985,9.1930249215943
1986,9.187834014873
1987,9.4068748777793
1988,9.5058781036361
1989,9.7135186816293
1990,9.6527814636855
1991,9.7737669333265
1992,10.128253446684
1993,9.9134830597166
1994,10.799424900462
1995,11.235167867102
1996,11.602792397211
1997,11.764644829183
1998,12.316375139163
1999,11.789305468733
2000,12.257678540313
2001,13.385898702452
2002,14.641294076529
2003,16.222875008839
2004,17.362558809367
2005,16.526494028607
2006,17.716606358528
2007,19.006880122057
2008,19.330419159434
2009,19.353321243687
2010,19.417447768797
2011,20.69546324095
2012,21.389771800301
2013,21.372213280229
2014,21.8145842566
2015,22.608907709875
2016,22.633893891196
2017,21.461344768024
2018,21.349002489855
2019,22.735788255694
2020,21.604987837324
2021,22.969323900636
2022,23.744765940487
