Year,Emissions
1970,12.084037839432
1971,12.317205364706
1972,12.647858506319
1973,12.752702927364
1974,14.235518431229
1975,14.177437417671
1976,16.146664526838
1977,18.375004248602
1978,19.531750181903
1979,18.639698805879
1980,19.176443016572
1981,20.311281210139
1982,22.825648012854
1983,26.284751661532
1984,28.720085160063
1985,29.881368711232
1986,33.725344398249
1987,34.257096477976
1988,37.432676694904
1989,38.892051685844
1990,39.973704070316
1991,43.362803685739
1992,47.849936248581
1993,48.875824407926
1994,42.401996586531
1995,42.946240456617
1996,40.467659035978
1997,39.420157827861
1998,47.872615365443
1999,51.071317423792
2000,47.321902081522
2001,47.194850614286
2002,46.221980800113
2003,49.841793675466
2004,46.017368446217
2005,48.363526283847
2006,47.957093691219
2007,50.16104355139
2008,48.90897083519
2009,51.078415924912
2010,48.168179374413
2011,51.207615190412
2012,50.701468266734
2013,52.280483339794
2014,53.721895123017
2015,50.443884665291
2016,51.356373404955
2017,50.49972164151
2018,50.490155644086
2019,50.00980834999
2020,41.671039928529
2021,41.083015149029
2022,39.140074084219
