Year,Emissions
1970,3.2287309355285
1971,3.3697207781815
1972,3.6760742131743
1973,4.3733941385873
1974,4.3014262066909
1975,4.037660798651
1976,4.1327469054211
1977,4.2820178564744
1978,4.4092123829886
1979,4.4565128167648
1980,4.2422905217064
1981,4.1693186026175
1982,3.8657770782872
1983,3.9226395911121
1984,4.2141286719011
1985,4.0250211389989
1986,4.074343401999
1987,4.2118046122197
1988,4.3276463358554
1989,4.4362079889047
1990,4.4275606745839
1991,4.3951868523975
1992,3.3048464009304
1993,3.4270453188288
1994,3.5613153958051
1995,3.3814202415023
1996,3.6801757586628
1997,3.6142248057502
1998,3.7679312044303
1999,3.8270481352266
2000,3.9353360232042
2001,4.045275160858
2002,4.2422592765458
2003,4.2111781661875
2004,4.2944835217916
2005,4.2664383265034
2006,4.4130367781919
2007,4.7421150243653
2008,5.0534106283411
2009,5.0510677433258
2010,4.9890399404334
2011,4.8495783341379
2012,4.8530096958235
2013,4.9028045051846
2014,4.7274257515298
2015,4.8899636015997
2016,4.4576003166609
2017,4.5906712102632
2018,4.5366845005083
2019,4.4165386841165
2020,4.2655714841309
2021,4.2814907665731
2022,4.7682410211727
