Year,Emissions
1970,217.88761709314
1971,220.67862224227
1972,227.03580718918
1973,242.38943379801
1974,249.24184282263
1975,249.13514856946
1976,257.1318441488
1977,283.66539787449
1978,302.84674988863
1979,309.40430355212
1980,314.23849870717
1981,324.12519066302
1982,315.12428307967
1983,323.69266988709
1984,339.33102799373
1985,347.18476032025
1986,363.76698702252
1987,365.6263086897
1988,378.739316577
1989,391.636373785
1990,427.6550811338
1991,448.6479129019
1992,469.57238331798
1993,487.72980865897
1994,507.22932186634
1995,538.05205109551
1996,563.26372072702
1997,587.7193493384
1998,585.74207370232
1999,599.64742155236
2000,602.21459760972
2001,626.75836701746
2002,639.46192940923
2003,672.9094415596
2004,686.33867634005
2005,694.31389903827
2006,730.22284097562
2007,753.68986498778
2008,758.75589336701
2009,793.47569422299
2010,827.21788844166
2011,930.78104399534
2012,952.05090016313
2013,911.97313458787
2014,961.11687543067
2015,961.40668129682
2016,956.68072865927
2017,1019.7751122334
2018,1109.6441618166
2019,1161.7794455127
2020,1104.7115824854
2021,1128.0599947263
2022,1240.832610547
