Year,Emissions
1970,171.1604553297
1971,171.14798221444
1972,181.49201900406
1973,189.26121306734
1974,182.1232457004
1975,176.10763773456
1976,176.41201209354
1977,192.35412801321
1978,199.24574954402
1979,206.07813077457
1980,204.84730059987
1981,204.21677749545
1982,211.49941238497
1983,213.3814393804
1984,221.3801272276
1985,227.55722435291
1986,250.0542195406
1987,264.23404853228
1988,279.14812899301
1989,293.28821210611
1990,261.80448521853
1991,254.58912108546
1992,262.94769360637
1993,268.01345395301
1994,281.55927523786
1995,292.18625837075
1996,304.04349923508
1997,318.875273144
1998,329.38380261146
1999,343.38052586289
2000,355.89283850937
2001,350.0055917851
2002,370.72892085918
2003,368.67439864104
2004,398.16459386098
2005,423.30909995682
2006,438.97799286993
2007,452.80702470938
2008,460.48642694064
2009,439.01351581695
2010,464.91417854307
2011,479.83130529539
2012,479.99632363693
2013,488.02546481304
2014,503.95257604281
2015,532.8782840924
2016,555.78521969874
2017,591.07931374985
2018,617.43035568192
2019,627.47830146885
2020,299.32586796928
2021,345.37600150301
2022,425.96373518705
