Year,Emissions
1970,212.90440864846
1971,218.57770010287
1972,241.14301097204
1973,279.0611052704
1974,290.9837999791
1975,278.31993228616
1976,310.1041440229
1977,312.6114105091
1978,299.69990505061
1979,245.6845520315
1980,187.72305975031
1981,183.99100958263
1982,228.09859320794
1983,252.86352797692
1984,247.5112314621
1985,261.70401638931
1986,247.71181560775
1987,264.00907700578
1988,265.52384213601
1989,294.80003896706
1990,332.76303749834
1991,377.9865629741
1992,402.63352833717
1993,401.67742582731
1994,442.89550282557
1995,444.93050026406
1996,463.50496521381
1997,478.46783065673
1998,464.16051937242
1999,495.1652632507
2000,525.59130534701
2001,531.95345397352
2002,551.27533993928
2003,600.29235278905
2004,640.6542218206
2005,683.55652008914
2006,731.9266856894
2007,764.32265000068
2008,770.82979667569
2009,795.52729520087
2010,807.19363805754
2011,818.25980817029
2012,813.13987673111
2013,833.51245375269
2014,858.44148763519
2015,857.02154736763
2016,904.8487843841
2017,937.91733795363
2018,950.8282851198
2019,915.83081555367
2020,901.55561882461
2021,936.5665682156
2022,951.98365317644
