Year,Emissions
1970,72.897905044878
1971,73.199976064246
1972,76.979319545357
1973,77.990767591663
1974,61.214727518401
1975,83.688997082549
1976,23.841775806976
1977,24.711798187107
1978,26.015600657598
1979,26.47301018415
1980,26.42426192714
1981,27.433309817852
1982,28.545576739606
1983,29.502722343992
1984,30.52649782943
1985,32.337088687098
1986,34.775746105278
1987,37.569168400617
1988,39.725753875683
1989,41.146109276985
1990,42.692904174156
1991,43.508257152721
1992,46.353442400308
1993,50.408831296602
1994,54.0448169563
1995,57.525166030082
1996,60.950317155391
1997,62.910520383424
1998,64.096601074286
1999,65.764063563304
2000,70.434564970968
2001,70.617163926613
2002,73.927934265387
2003,75.759102873091
2004,76.108003934989
2005,73.940745030532
2006,77.465968935292
2007,80.177019178428
2008,81.713768887701
2009,79.975083693699
2010,85.978756770439
2011,86.38873580224
2012,92.579536829867
2013,85.1611179649
2014,82.984200254322
2015,86.878651700545
2016,87.584367938036
2017,87.727585496273
2018,84.405979146068
2019,86.203527233363
2020,83.575635663557
2021,84.454462186766
2022,87.753749118586
