Year,Emissions
1970,395.94481300947
1971,412.38458472974
1972,429.73374809796
1973,453.8505538276
1974,454.31464412089
1975,436.31581053889
1976,467.11882506613
1977,456.50520418471
1978,466.89598700799
1979,483.5986091677
1980,484.77572550175
1981,472.28109928782
1982,463.45276536234
1983,456.3602935952
1984,465.10749700481
1985,465.69669145232
1986,468.74137901672
1987,495.10899268977
1988,495.85041587132
1989,512.51486158429
1990,513.73789969503
1991,511.24864545175
1992,505.96894911985
1993,499.56016030703
1994,495.64712572667
1995,522.30654221611
1996,518.31139276107
1997,522.35531529414
1998,531.94927472826
1999,539.32395890189
2000,545.77964838547
2001,542.3183974196
2002,551.73400763552
2003,570.49686835976
2004,579.58756879792
2005,580.42650548309
2006,568.23460811383
2007,560.89781875911
2008,545.40661533811
2009,493.35596233967
2010,503.63464919271
2011,492.28889603576
2012,473.34306638781
2013,440.13020633099
2014,420.08372625843
2015,430.297117747
2016,424.97978140519
2017,422.79610537883
2018,417.57185419333
2019,405.32952068664
2020,367.41464717024
2021,392.95765348359
2022,394.7478745173
