,year,state,county_fips,county,democrat_votes,republican_votes,total_votes,County Code,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,0-50K,50K-100K,100K and above,Male: 18-24,Male: 25-49,Male: 50-64,Male: 65 and above,Female: 18-24,Female: 25-49,Female: 50-64,Female: 65 and above,Male: Some early,Male: High school,Male: Some college or Associate's degree,Male: Bachelor's degree,Male: Master's degree or higher,Female: Some early,Female: High school,Female: Some college or Associate's degree,Female: Bachelor's degree,Female: Master's degree or higher,White alone_log,Black or African American alone_log,American Indian and Alaska Native alone_log,Asian alone_log,Native Hawaiian and Other Pacific Islander alone_log,0-50K_log,50K-100K_log,100K and above_log,Male: 18-24_log,Male: 25-49_log,Male: 50-64_log,Male: 65 and above_log,Female: 18-24_log,Female: 25-49_log,Female: 50-64_log,Female: 65 and above_log,Male: Some early_log,Male: High school_log,Male: Some college or Associate's degree_log,Male: Bachelor's degree_log,Male: Master's degree or higher_log,Female: Some early_log,Female: High school_log,Female: Some college or Associate's degree_log,Female: Bachelor's degree_log,Female: Master's degree or higher_log
0,2020,VIRGINIA,51510,Alexandria City,66240,14544,80784,510.0,1162.0,667.0,229.0,294.0,174.0,2486.0,1595.0,1906.0,504.0,852.0,713.0,952.0,805.0,997.0,893.0,1214.0,918.0,1418.0,1112.0,786.0,1243.0,723.0,1440.0,1218.0,722.0,1157.0,7.057897937411856,6.502790045915623,5.43372200355424,5.683579767338681,5.159055299214529,7.818430272070656,7.374629015218945,7.552762084214147,6.222576268071369,6.747586526829315,6.569481420414296,6.858565034791365,6.690842277418564,6.904750769961838,6.794586580876499,7.101675971619444,6.822197390620491,7.257002707092073,7.013915474810528,6.666956792429207,7.125283091510712,6.583409222158765,7.272398392570047,7.1049654482698426,6.582025138892826,7.053585727193677
1,2020,VIRGINIA,51520,Bristol City,2313,5347,7660,520.0,127.0,131.0,41.0,69.0,127.0,1289.0,468.0,283.0,312.0,404.0,333.0,404.0,361.0,429.0,327.0,574.0,250.0,571.0,470.0,208.0,191.0,206.0,650.0,495.0,153.0,186.0,4.844187086458591,4.875197323201151,3.713572066704308,4.23410650459726,4.844187086458591,7.161622002939187,6.148468295917647,5.645446897643238,5.7430031878094825,6.001414877961151,5.808142489980444,6.001414877961151,5.8888779583328805,6.061456918928017,5.7899601708972535,6.352629396319567,5.521460917862246,6.3473892096560105,6.152732694704104,5.337538079701318,5.25227342804663,5.327876168789581,6.476972362889683,6.20455776256869,5.030437921392435,5.225746673713202
2,2020,VIRGINIA,51530,Buena Vista City,825,1863,2688,530.0,73.0,72.0,30.0,127.0,15.0,714.0,325.0,230.0,330.0,366.0,180.0,320.0,322.0,439.0,166.0,298.0,253.0,273.0,178.0,82.0,101.0,286.0,531.0,270.0,99.0,245.0,4.290459441148391,4.276666119016055,3.4011973816621555,4.844187086458591,2.70805020110221,6.570882962339584,5.783825182329737,5.438079308923196,5.799092654460526,5.902633333401366,5.19295685089021,5.768320995793772,5.7745515455444085,6.084499413075172,5.111987788356544,5.697093486505405,5.53338948872752,5.60947179518496,5.181783550292085,4.406719247264253,4.61512051684126,5.655991810819852,6.274762021241939,5.598421958998375,4.59511985013459,5.501258210544727
3,2020,VIRGINIA,51540,Charlottesville City,20696,3094,23790,540.0,270.0,372.0,172.0,91.0,44.0,1585.0,775.0,558.0,1684.0,477.0,361.0,413.0,2190.0,454.0,424.0,599.0,308.0,674.0,527.0,262.0,519.0,317.0,711.0,472.0,255.0,484.0,5.598421958998375,5.918893854273146,5.147494476813453,4.51085950651685,3.784189633918261,7.368339686311381,6.652863029353347,6.324358962381311,7.428927194802272,6.1675164908883415,5.8888779583328805,6.023447592961033,7.691656822810547,6.118097198041348,6.049733455231958,6.395261598115449,5.730099782973574,6.513230110912307,6.267200548541362,5.568344503761097,6.251903883165888,5.75890177387728,6.566672429803241,6.156978985585555,5.541263545158426,6.182084906716632
4,2020,VIRGINIA,51550,Chesapeake City,66377,58180,124557,550.0,847.0,540.0,282.0,311.0,61.0,3265.0,1858.0,1849.0,967.0,966.0,859.0,1185.0,893.0,1157.0,980.0,1345.0,530.0,1917.0,1681.0,666.0,799.0,554.0,1904.0,1757.0,823.0,957.0,6.741700694652055,6.29156913955832,5.641907070938114,5.739792912179234,4.110873864173311,8.09101504171053,7.527255919373784,7.522400231387125,6.874198495453294,6.873163834212518,6.755768921984255,7.077498053569231,6.794586580876499,7.053585727193677,6.887552571664617,7.20414929203594,6.272877006546167,7.558516743045645,7.427144133408616,6.501289670540389,6.683360945766275,6.317164686747284,7.55171221535131,7.471363088187097,6.71295620067707,6.863803391452954
5,2020,VIRGINIA,51570,Colonial Heights City,2972,6007,8979,570.0,155.0,183.0,47.0,52.0,127.0,968.0,529.0,325.0,319.0,469.0,278.0,362.0,364.0,485.0,374.0,500.0,240.0,476.0,361.0,167.0,187.0,151.0,535.0,445.0,128.0,181.0,5.043425116919247,5.209486152841421,3.8501476017100575,3.951243718581428,4.844187086458591,6.875232087276577,6.270988431858299,5.783825182329737,5.765191102784844,6.150602768446279,5.627621113690637,5.891644211825772,5.8971538676367405,6.184148890937483,5.924255797414532,6.214608098422191,5.480638923341991,6.16541785423142,5.8888779583328805,5.117993812416755,5.231108616854587,5.017279836814924,6.282266746896006,6.09807428216624,4.852030263919617,5.198497031265826
6,2020,VIRGINIA,51580,Covington City,964,1580,2544,580.0,61.0,108.0,20.0,61.0,127.0,646.0,259.0,251.0,242.0,310.0,172.0,205.0,424.0,348.0,201.0,308.0,123.0,292.0,229.0,63.0,293.0,377.0,337.0,258.0,68.0,210.0,4.110873864173311,4.68213122712422,2.995732273553991,4.110873864173311,4.844187086458591,6.470799503782602,5.556828061699537,5.525452939131784,5.488937726156687,5.736572297479192,5.147494476813453,5.3230099791384085,6.049733455231958,5.8522024797744745,5.303304908059076,5.730099782973574,4.812184355372417,5.676753802268282,5.43372200355424,4.143134726391533,5.680172609017068,5.932245187448011,5.820082930352362,5.552959584921617,4.219507705176107,5.3471075307174685
7,2020,VIRGINIA,51590,Danville City,11710,7428,19138,590.0,273.0,79.0,57.0,56.0,12.0,1872.0,709.0,437.0,357.0,510.0,498.0,609.0,514.0,489.0,545.0,902.0,429.0,945.0,629.0,233.0,285.0,400.0,1013.0,823.0,210.0,254.0,5.60947179518496,4.3694478524670215,4.04305126783455,4.02535169073515,2.4849066497880004,7.534762657037537,6.563855526532128,6.07993319509559,5.877735781779639,6.234410725718371,6.210600077024653,6.411818267709897,6.2422232654551655,6.192362489474872,6.300785794663244,6.804614520062624,6.061456918928017,6.851184927493743,6.444131256700441,5.4510384535657,5.652489180268651,5.991464547107982,6.920671504248683,6.71295620067707,5.3471075307174685,5.537334267018537
8,2020,VIRGINIA,51595,Emporia City,1612,754,2366,595.0,319.0,302.0,43.0,45.0,127.0,583.0,274.0,153.0,263.0,461.0,225.0,189.0,222.0,357.0,256.0,315.0,159.0,455.0,140.0,69.0,129.0,190.0,364.0,229.0,71.0,90.0,5.765191102784844,5.71042701737487,3.7612001156935615,3.80666248977032,4.844187086458591,6.368187186350492,5.613128106388071,5.030437921392435,5.572154032177765,6.133398042996649,5.41610040220442,5.241747015059643,5.402677381872279,5.877735781779639,5.545177444479562,5.752572638825633,5.068904202220232,6.12029741895095,4.941642422609304,4.23410650459726,4.859812404361672,5.247024072160486,5.8971538676367405,5.43372200355424,4.262679877041316,4.499809670330265
9,2020,VIRGINIA,51600,Fairfax City,9174,4007,13181,600.0,359.0,122.0,50.0,111.0,34.0,720.0,522.0,730.0,461.0,551.0,419.0,422.0,318.0,542.0,417.0,522.0,125.0,367.0,463.0,244.0,460.0,176.0,445.0,440.0,289.0,366.0,5.883322388488279,4.804021044733257,3.912023005428146,4.709530201312334,3.5263605246161616,6.579251212010101,6.257667587882639,6.593044534142437,6.133398042996649,6.311734809152915,6.037870919922137,6.045005314036012,5.762051382780177,6.295266001439646,6.0330862217988015,6.257667587882639,4.8283137373023015,5.905361848054571,6.137727054086234,5.497168225293202,6.131226489483141,5.170483995038151,6.09807428216624,6.0867747269123065,5.666426688112432,5.902633333401366
